Year,Race,Driver,AvgLapTime,BestLapTime,Consistency,TotalLaps,FinalPosition,Driver_encoded,Race_encoded,GridPosition,TeamName,Team_encoded
2020,Austrian Grand Prix,GIO,77.55839393939394,68.796,14.605154900164834,66.0,9,10,3,18,Alfa Romeo Racing,1
2020,Austrian Grand Prix,GRO,75.82711363636363,70.228,11.250645681142059,44.0,14,11,3,15,Haas F1 Team,6
2020,Austrian Grand Prix,HAM,77.40769696969697,67.712,16.729841628722745,66.0,2,12,3,5,Mercedes,9
2020,Austrian Grand Prix,KVY,77.96240625,69.135,14.194049413503404,64.0,12,15,3,13,AlphaTauri,2
2020,Austrian Grand Prix,LAT,77.66481818181818,69.662,13.65340145831133,66.0,11,16,3,20,Williams,14
2020,Austrian Grand Prix,LEC,77.35977272727273,67.901,15.053947759048716,66.0,1,18,3,7,Ferrari,5
2020,Austrian Grand Prix,MAG,71.85952631578948,70.72,1.960469852085375,19.0,12,19,3,16,Haas F1 Team,6
2020,Austrian Grand Prix,NOR,77.42278787878787,67.475,15.332304561099498,66.0,4,22,3,3,McLaren,8
2020,Austrian Grand Prix,OCO,77.50027272727273,68.912,13.607245106978803,66.0,7,23,3,14,Renault,13
2020,Austrian Grand Prix,PER,77.49086363636364,68.305,15.504109765712853,66.0,6,24,3,6,Racing Point,11
2020,Austrian Grand Prix,RAI,75.56174468085106,69.031,11.06364900585243,48.0,14,26,3,19,Alfa Romeo Racing,1
2020,Austrian Grand Prix,RIC,73.8795,70.61,8.028763376986292,12.0,17,27,3,10,Renault,13
2020,Austrian Grand Prix,RUS,74.34632558139535,69.317,11.150744478073307,44.0,16,28,3,17,Williams,14
2020,Austrian Grand Prix,SAI,77.45319696969698,67.974,15.089235464365565,66.0,5,29,3,8,McLaren,8
2020,Austrian Grand Prix,STR,72.34753333333333,70.326,2.918787685389427,15.0,14,31,3,9,Racing Point,11
2020,Austrian Grand Prix,VER,76.8227,69.351,21.765841112726253,10.0,18,33,3,2,Red Bull Racing,12
2020,Austrian Grand Prix,VET,77.64287878787879,68.623,14.158466490750216,66.0,10,34,3,11,Ferrari,5
2020,Bahrain Grand Prix,ALB,102.02696296296297,93.684,15.143449246883685,57.0,3,1,5,4,Red Bull Racing,12
2020,Bahrain Grand Prix,BOT,102.1415,93.352,14.299286304594192,57.0,8,4,5,2,Mercedes,9
2020,Bahrain Grand Prix,GAS,102.18788888888888,94.817,14.420225247065344,57.0,6,9,5,8,AlphaTauri,2
2020,Bahrain Grand Prix,GIO,104.14988679245282,94.536,16.04650382321569,56.0,16,10,5,16,Alfa Romeo Racing,1
2020,Bahrain Grand Prix,HAM,100.76845283018868,92.864,15.567206936088478,56.0,1,12,5,1,Mercedes,9
2020,Bahrain Grand Prix,KVY,104.56616981132075,94.141,18.6859497285814,56.0,11,15,5,10,AlphaTauri,2
2020,Bahrain Grand Prix,LAT,104.4302641509434,94.591,16.705990504503895,56.0,14,16,5,20,Williams,14
2020,Bahrain Grand Prix,LEC,102.2583137254902,93.625,15.090462309008561,55.0,10,18,5,12,Ferrari,5
2020,Bahrain Grand Prix,MAG,105.33368518518519,95.241,16.946386124262798,56.0,17,19,5,18,Haas F1 Team,6
2020,Bahrain Grand Prix,NOR,102.47509259259259,93.588,16.018624608553495,57.0,4,22,5,9,McLaren,8
2020,Bahrain Grand Prix,OCO,102.49724074074074,94.354,14.987103095832136,57.0,9,23,5,7,Renault,13
